# NGSL headwords — 빈도 구간(band) 순서로 정렬됨
# 출처: Browne, Culligan & Phillips (NGSL, CC BY) / 기계가독 변환본 CC0
# 형식: word,band  (배치 스크립트는 첫 컬럼만 읽는다)
be,1000
and,1000
of,1000
to,1000
a,1000
in,1000
have,1000
it,1000
you,1000
he,1000
for,1000
they,1000
not,1000
that,1000
we,1000
on,1000
with,1000
this,1000
i,1000
do,1000
as,1000
at,1000
she,1000
but,1000
from,1000
by,1000
will,1000
or,1000
say,1000
go,1000
so,1000
all,1000
if,1000
one,1000
would,1000
about,1000
can,1000
which,1000
there,1000
know,1000
more,1000
get,1000
who,1000
like,1000
when,1000
think,1000
make,1000
time,1000
see,1000
what,1000
up,1000
some,1000
other,1000
out,1000
good,1000
people,1000
year,1000
take,1000
no,1000
well,1000
because,1000
very,1000
just,1000
come,1000
could,1000
work,1000
use,1000
than,1000
now,1000
then,1000
also,1000
into,1000
only,1000
look,1000
want,1000
give,1000
first,1000
new,1000
way,1000
find,1000
over,1000
any,1000
after,1000
day,1000
where,1000
thing,1000
most,1000
should,1000
need,1000
much,1000
right,1000
how,1000
back,1000
mean,1000
even,1000
may,1000
here,1000
many,1000
such,1000
last,1000
child,1000
tell,1000
really,1000
call,1000
before,1000
company,1000
through,1000
down,1000
show,1000
life,1000
man,1000
change,1000
place,1000
long,1000
between,1000
feel,1000
too,1000
still,1000
problem,1000
write,1000
same,1000
lot,1000
great,1000
try,1000
leave,1000
number,1000
both,1000
own,1000
part,1000
point,1000
little,1000
help,1000
ask,1000
meet,1000
start,1000
talk,1000
something,1000
put,1000
another,1000
become,1000
interest,1000
country,1000
old,1000
each,1000
school,1000
late,1000
high,1000
different,1000
off,1000
next,1000
end,1000
live,1000
why,1000
while,1000
world,1000
week,1000
play,1000
might,1000
must,1000
home,1000
never,1000
include,1000
course,1000
house,1000
report,1000
group,1000
case,1000
woman,1000
around,1000
book,1000
family,1000
seem,1000
let,1000
again,1000
kind,1000
keep,1000
hear,1000
system,1000
every,1000
question,1000
during,1000
always,1000
big,1000
set,1000
small,1000
study,1000
follow,1000
begin,1000
important,1000
since,1000
