# TSL (TOEIC Service List) headwords — 빈도 순위(rank) 순서로 정렬됨
# 출처: Browne, C., Culligan, B. (2013). The TOEIC Service List.
#       Retrieved from www.newgeneralservicelist.com  (CC BY-SA 4.0)
# 형식: word,rank  (배치 스크립트는 첫 컬럼만 읽는다 — ngsl.csv 와 같은 모양)
#
# NGSL 2,800 과 합치면 토익 시험 어휘의 98.5% 를 덮는다. NGSL 과 같은 팀·같은
# 라이선스라 저작권 문제가 없다 — Oxford 3000·Cambridge EVP 는 못 쓰고 시판 교재
# 재배포(Anki 덱)는 CLAUDE.md §9 위반이라, 쓸 수 있는 목록으로는 사실상 유일하다.
#
# **원본은 cp1252 다.** UTF-8 로 읽으면 résumé 가 깨진다. 여기 저장한 것은 UTF-8 이다.
#
# 배치가 받지 못하는 표제어가 4개 있다 — `ice cream`(띄어쓰기), `résumé`·`café`·
# `entrée`(악센트). 이 프로젝트의 표제어는 한 낱말이고 빈칸 채점이 낱말 단위라
# 그대로 둔다. 조용히 사라지지는 않는다: load_wordlist 가 건너뛴 것을 말해 준다.
#
# 아래 한 줄이 이 목록의 트랙이다. 트랙은 행을 만들 때 정해지고 나중에 바뀌지 않으므로
# (crud.upsert_word), 실행할 때 고르는 플래그가 아니라 목록 자체에 적어 둔다.
# 이걸 지우면 TOEIC 어휘가 왕초보 트랙으로 쏟아진다.
# track: toeic
mister,1
vacation,2
client,3
e-book,4
airport,5
memo,6
reservation,7
logical,8
fax,9
o'clock,10
sincerely,11
sometime,12
supervisor,13
refund,14
goods,15
workshop,16
downtown,17
deadline,18
invoice,19
brochure,20
noon,21
accountant,22
clerk,23
lobby,24
publish,25
résumé,26
enclose,27
applicant,28
seminar,29
technician,30
cloth,31
fare,32
receipt,33
traveler,34
caller,35
subway,36
luggage,37
shipment,38
infer,39
waiter,40
rental,41
warranty,42
cafeteria,43
chef,44
elevator,45
reception,46
correctly,47
lease,48
bicycle,49
notify,50
preview,51
attendant,52
subscription,53
convenient,54
manual,55
clue,56
garage,57
obtain,58
oval,59
inventory,60
outdoor,61
suitcase,62
destination,63
occupation,64
postpone,65
contradict,66
umbrella,67
inference,68
cellphone,69
compact,70
merchandise,71
receptionist,72
dentist,73
identification,74
coupon,75
depart,76
reschedule,77
tactic,78
renovation,79
upgrade,80
precede,81
replacement,82
dine,83
passport,84
coworker,85
upcoming,86
cabinet,87
appliance,88
explanatory,89
instructor,90
keyboard,91
media,92
supermarket,93
valid,94
admission,95
laptop,96
underline,97
electrical,98
airplane,99
assignment,100
exit,101
attendee,102
cruise,103
birthday,104
café,105
comprehension,106
mall,107
medication,108
recycle,109
renew,110
tenant,111
sandwich,112
departure,113
mini,114
fitness,115
inconvenience,116
banquet,117
closet,118
unreal,119
distractor,120
expire,121
folder,122
photocopy,123
renovate,124
sunny,125
